window_id,start_index,end_index,best_match,dtw_distance,label,similarity_score
U_518,20680,20879,Agg_70,347.2351025424316,Aggressive,0.5673356152111009
U_519,20720,20919,Agg_6,375.12367397136904,Aggressive,0.542087557301421
U_520,20760,20959,Agg_31,382.43029090745176,Aggressive,0.535660562706154
U_521,20800,20999,Agg_32,336.35963362311907,Aggressive,0.5774971216243986
U_522,20840,21039,Agg_33,311.540919504269,Aggressive,0.6013733341807305
U_523,20880,21079,Agg_70,341.93299801033146,Aggressive,0.5722671093733169
U_524,20920,21119,Agg_71,335.2421818917705,Aggressive,0.5785514701888059
U_525,20960,21159,Agg_50,345.45205696944777,Aggressive,0.5689892672216976
U_526,21000,21199,Agg_50,321.0905238461271,Aggressive,0.5920717165682724
U_527,21040,21239,Agg_118,351.01191205606887,Aggressive,0.5638487387151984
U_528,21080,21279,Agg_1,357.96946859789347,Aggressive,0.5574812966647819
U_529,21120,21319,Agg_2,353.41577549873733,Aggressive,0.5616405810289065
U_530,21160,21359,Agg_12,360.7146630816677,Aggressive,0.5549887678143247
U_531,21200,21399,Agg_3,348.99036893590346,Aggressive,0.5657124208220181
U_532,21240,21439,Agg_148,332.54072213509613,Aggressive,0.581108335627823
U_533,21280,21479,Agg_149,334.1069077588266,Aggressive,0.5796246059751794
U_534,21320,21519,Agg_150,318.34730806654017,Aggressive,0.5947288689822778
U_535,21360,21559,Agg_151,360.55229777057644,Aggressive,0.5551358785816873
U_536,21400,21599,Agg_152,378.01966741849327,Aggressive,0.5395310303365309
U_537,21440,21639,Agg_51,384.40382221879844,Aggressive,0.5339377271939143
U_538,21480,21679,Agg_52,359.58871682808234,Aggressive,0.5560097319350333
U_539,21520,21719,Agg_67,358.7417490677362,Aggressive,0.5567789668463713
U_540,21560,21759,Agg_148,345.29634402160013,Aggressive,0.569133908902901
U_541,21600,21799,Agg_151,376.78904190651633,Aggressive,0.5406159262770246
U_542,21640,21839,Agg_3,395.7185793083788,Aggressive,0.5241666850944672
U_543,21680,21879,Agg_4,374.19882741589726,Aggressive,0.5429065432439945
U_544,21720,21919,Agg_150,356.93068395787486,Aggressive,0.5584273890410318
U_545,21760,21959,Agg_11,366.2651592432465,Aggressive,0.5499831286729174
U_546,21800,21999,Agg_6,384.92851377434454,Aggressive,0.533480619868565
U_547,21840,22039,Agg_170,318.4593759475353,Aggressive,0.5946200837550417
U_548,21880,22079,Agg_23,363.56010602626117,Aggressive,0.5524169787604164
U_549,21920,22119,Agg_32,365.5112573526201,Aggressive,0.5506603660489804
U_550,21960,22159,Agg_67,358.2698774021221,Aggressive,0.5572079926913294
U_551,22000,22199,Agg_67,349.6660886645819,Aggressive,0.5650887832286574
U_552,22040,22239,Agg_68,349.45278161344686,Aggressive,0.5652855750179272
U_553,22080,22279,Agg_150,342.56531985713497,Aggressive,0.5716767420294657
U_554,22120,22319,Agg_71,356.4265369854546,Aggressive,0.558887128785856
U_555,22160,22359,Agg_116,344.12812076047163,Aggressive,0.5702202442913104
U_556,22200,22399,Agg_116,320.7226153646199,Aggressive,0.5924273921043608
U_557,22240,22439,Agg_117,338.5365848774143,Aggressive,0.5754486187091132
U_558,22280,22479,Agg_51,356.3150069740322,Aggressive,0.5589888859167208
U_559,22320,22519,Agg_67,396.11662389775654,Aggressive,0.523826222407102
U_560,22360,22559,Agg_48,355.79096900497024,Aggressive,0.5594672528542036
U_561,22400,22599,Agg_49,328.12219110963014,Aggressive,0.5853147456230865
