time,seconds_elapsed,yaw,qx,qz,roll,qw,qy,pitch
1781099279089239300,42.5292392578125,3.129266840642041,-0.9739012226189366,-0.18578332749238421,-2.76621736194504,0.12681748423491662,0.030305159087454698,-0.26123701364358265
1781099279114314200,42.55431420898437,3.130302877980682,-0.9744435240431971,-0.18377786739723986,-2.7702454880818665,0.1257994741705433,0.0293253557680841,-0.2588278986421062
1781099279139390500,42.57939038085937,3.1319555241120383,-0.97469796639814,-0.18277302197506745,-2.772112403655662,0.1255231438939489,0.028317882741004295,-0.25789506542586554
1781099279164466400,42.60446655273437,3.133443405232402,-0.9750352090664769,-0.18147596140529626,-2.774609748877753,0.1250078390989088,0.02730896568075905,-0.2564889499065918
1781099279189541400,42.629541259765624,3.136169138021598,-0.975455002221518,-0.1798685348433858,-2.777594553058656,0.1244101562197388,0.02563085777710032,-0.2546775661169529
1781099279214617600,42.65461767578125,3.1388091289494633,-0.9758213366264115,-0.17813357709496624,-2.780829545727322,0.12434315641134429,0.02407900424632338,-0.2539734989233274
1781099279239692500,42.67969262695313,3.140701768082473,-0.9762354523170709,-0.1759245082760265,-2.785119341114001,0.12446603604634798,0.02287132837975055,-0.253778859890629
1781099279264768300,42.704768310546875,-3.140862175086448,-0.976880080482552,-0.17297932101845437,-2.7909869755870425,0.12376952460164338,0.021554189623466634,-0.25192930422717413
1781099279289844200,42.72984423828125,-3.140330398189156,-0.9774833165635091,-0.1704359020077078,-2.796181366381329,0.12266581524224733,0.020762572258202758,-0.24946437625018383
1781099279314919400,42.75491943359375,-3.1388191242397525,-0.9781181848513056,-0.16707415371041429,-2.80288796195077,0.12243044602052838,0.01953836189970561,-0.248583866009702
1781099279339995400,42.779995361328126,-3.136599853446421,-0.978238080889338,-0.16568761192565734,-2.8054018567943326,0.12352069471964443,0.018448786829237323,-0.2503868511018586
1781099279365070300,42.8050703125,-3.135238557179071,-0.9786182335457815,-0.1638802237416965,-2.808954394169977,0.12306393034544573,0.017462195797997276,-0.24915860051668487
1781099279390146600,42.830146484375,-3.13308334903914,-0.9792144923621307,-0.16184305586066433,-2.812949769222654,0.12122510558459094,0.015820709505145785,-0.24497462182691418
1781099279415222500,42.85522241210938,-3.1293560739854813,-0.9799372437758676,-0.15831301847002036,-2.819761291592454,0.12033722384322662,0.01338019457587264,-0.24245070482951273
1781099279440297500,42.88029736328125,-3.124421662013807,-0.9804877678922291,-0.15421748469311466,-2.827472040206903,0.12144204284643544,0.010604257552138091,-0.24382433290511507
1781099279465373200,42.90537329101563,-3.12213272650102,-0.9806154300327674,-0.1528658833425753,-2.8299104653724783,0.12221543347965304,0.009426537742156176,-0.24501891176491022
1781099279490449400,42.93044946289063,-3.1198371472749082,-0.9810673771223931,-0.15116332419887615,-2.833193383240304,0.12080945098561399,0.007850018841697401,-0.2417660562102252
1781099279515524400,42.9555244140625,-3.115555531379981,-0.9817475994536802,-0.14841379611216304,-2.8384181528658887,0.1188246228729225,0.005074713494808713,-0.23703121703138946
1781099279540600300,42.98060034179687,-3.113331973008172,-0.9822955577820108,-0.14525470820480868,-2.8446314530868504,0.11825461677326318,0.0035005683108420968,-0.2355099794533182
1781099279565675300,43.00567529296875,-3.1111319852960118,-0.9823712001682566,-0.144293545487937,-2.8462956730444384,0.11882995427503258,0.0023837990915622203,-0.23635258788962485
1781099279590751500,43.03075146484375,-3.1085449595300765,-0.9825317125334881,-0.14371451495514476,-2.8472163557411636,0.11822273530474862,0.0009389545866133024,-0.2347347891428769
1781099279615827200,43.0558271484375,-3.1057855676404365,-0.9830321929789286,-0.14074707458228705,-2.85297937094289,0.11763159722396273,-0.0008740163084070009,-0.23313132160050795
1781099279640902400,43.08090234375,-3.1032195400250284,-0.9835402925181497,-0.13636408737754793,-2.8615345926889613,0.11852016954833614,-0.00253629683136321,-0.23459284777744813
1781099279665978400,43.105978271484375,-3.1007382868629563,-0.9838682556088082,-0.1319057250444318,-2.870141352745097,0.12078210431723464,-0.003973834794459867,-0.23888456401561717
1781099279691054300,43.131054443359375,-3.098285400506902,-0.9841728858190227,-0.12833183313423713,-2.87701446908437,0.122086910850165,-0.005438427252000758,-0.2412466996151293
1781099279716129300,43.15612939453125,-3.0977125073287075,-0.984405265206817,-0.12697740198994442,-2.879734915351826,0.12160344422511082,-0.005955293645262141,-0.24020502098116747
1781099279741205500,43.18120556640625,-3.0985640735158477,-0.9848126519711444,-0.12513853957339,-2.883676183807437,0.12020406003837034,-0.0059521873992006615,-0.23749353967041717
1781099279766280400,43.20628051757812,-3.0984768617584235,-0.9853010856647035,-0.12383686109180941,-2.8865108586347485,0.1174897226631203,-0.00652018535626695,-0.23198584574956937
1781099279791356400,43.2313564453125,-3.0972777888816463,-0.9855750495378829,-0.12359469630172874,-2.8870234496305205,0.11537376348741571,-0.007426785643666289,-0.22754160732163467
1781099279816432400,43.25643237304688,-3.093843333415103,-0.9854880649823633,-0.1249199252281521,-2.8840122630721314,0.11456768551258271,-0.00908166069619677,-0.22544611753529117
1781099279841507300,43.28150732421875,-3.0895824530990605,-0.9854801539196802,-0.1258780129623408,-2.8816921511009252,0.11338943235781027,-0.011242691035271197,-0.2224866438697543
1781099279866583300,43.30658325195313,-3.0836532198161732,-0.9857983540343837,-0.12385989686678887,-2.8852157663763887,0.11246891098054065,-0.014532215836255236,-0.21991166583152602
1781099279891658200,43.331658203125,-3.0765314270070605,-0.9858869711920841,-0.12194681989612548,-2.8882477924377583,0.11325187969913247,-0.018165103789071407,-0.22066316085796692
1781099279916734500,43.356734375,-3.0703929997948274,-0.9858955447519444,-0.12042837676483456,-2.890555099897536,0.11426343599242443,-0.021235743348427413,-0.22200807059230046
1781099279941810400,43.381810546875,-3.064559528266441,-0.9859676216595156,-0.118677385846677,-2.8933985934110784,0.11487428624446605,-0.02423614840172561,-0.22260602070562263
1781099279966885400,43.406885498046876,-3.059276264998196,-0.9863287975505223,-0.11557361549912079,-2.8991725345865813,0.11425442277009826,-0.02728118540740097,-0.22087032101881426
1781099279991961300,43.43196142578125,-3.0557083971740644,-0.9867229793715457,-0.11248260633658237,-2.9051389017931077,0.11337907776186634,-0.02950488044764392,-0.21885278047455012
1781099280017036500,43.45703662109375,-3.0548052216519963,-0.9869453834280622,-0.11016186466633017,-2.9097178371230012,0.11354283219749782,-0.030188037611688673,-0.2192216907927907
1781099280042112300,43.4821123046875,-3.0529641389847164,-0.9869254210201102,-0.11059982824726265,-2.9086903537907953,0.11303859449053312,-0.03111392724358406,-0.21796060975310133
1781099280067188200,43.507188232421875,-3.051372457791112,-0.9869148451961123,-0.11265037847920148,-2.904627517367984,0.11084975029518795,-0.03195981717022046,-0.2132096496761584
