time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1781099272999835400,36.43983544921875,2.154873396269977,1.2659529952447273,9.032312772671878,23.064462068291057,57.31609776150435,32.70415327605876,14.245954728732292,7.9576430078235445,72.65432672689604,11.356718004973317
1781099273999831600,37.43983154296875,1.7011157870292664,0.900029220860818,7.255492271431184,23.06453989857966,56.86234015226364,37.19513615015838,14.245954824985773,12.443469673019127,72.65438621223359,11.115927111818246
1781099274999827000,38.43982690429687,1.6708919759839773,0.9011505874945696,7.256728021264996,23.064605377463884,56.83211634121835,39.88363234581768,14.24595467514997,12.418278999173257,72.65444931375544,10.229649854016971
1781099275999822600,39.43982250976563,1.1654082089662552,0.9092326999389462,8.189721155399406,23.064654742216014,56.32663257420063,43.827501261370614,14.24595496457293,12.27566166414361,72.65450770239845,8.985333399062034
1781099276999820300,40.4398203125,1.2207434587180614,0.9115164608697034,9.156494967512593,23.064692631236465,56.381967823952436,49.47418272181207,14.245955074126714,12.923061537561045,72.65456687377603,8.059371158620785
1781099277999815400,41.4398154296875,2.129341342486441,0.904759419606207,9.718579379945178,23.06472755398885,57.290565707720816,53.026260824462796,14.245954866877131,12.865324769016462,72.6546239922993,7.54270721018089
1781099278999811800,42.43981176757813,1.9339408334344625,0.9040524822056318,8.961428624846496,23.06476927405506,57.09516519866884,56.09696188885497,14.24595489908811,12.605996817203458,72.65469726928002,8.17463269806859
1781099279999807700,43.43980786132813,2.3127504475414753,0.9195644791949985,8.197349113413138,23.06481491193625,57.47397481277585,57.86512193451253,14.245954898612217,11.8357377451404,72.65478121178012,9.089001487360601
1781099280999803000,44.43980297851562,2.143524947576225,0.924159255192914,8.215211651978386,23.064872531684017,57.3047493128106,52.23256485747865,14.245954807958045,12.61479902978072,72.65484743990879,9.115153803443745
1781099281999800300,45.43980029296875,2.5374141559004784,0.9175217763636786,8.5194874092903,23.064936210980722,57.69863852113485,42.98314608839955,14.245954822629344,12.407474540596226,72.65489597772323,8.72557340596106
1781099282999795000,46.439794921875,3.2017063023522496,0.9232643534205971,8.277260504492453,23.065017148879694,58.362930667586625,30.50106297920242,14.245955299549566,12.24994791338981,72.654928869321,9.031291959638175
